date,price,volume,ma_21,ma_50,ma_200,event,quantum_signal
2024-10-04,27887.8887597848,922248.5716057065,,,,OMEGA MAX DUMP DETECTED AT 4:20,0
2024-10-05,19781.2796930646,1024520.3372187696,,,,QUANTUM ACCUMULATION,0
2024-10-06,31543.44963373718,714422.6960464569,,,,,0
2024-10-07,48741.147155059196,669856.5604595795,,,,,0
2024-10-08,72796.90069470277,695292.332601588,,,,,0
2024-10-09,107191.16681762587,649272.5177019832,,,,,0
2024-10-10,154268.154303163,617568.0655761727,,,,,0
2024-10-11,213116.07418767887,664366.9574742343,,,,,0
2024-10-12,290047.2636697196,687690.1970573134,,,,,0
2024-10-13,380476.58357131196,591744.9733018395,,,,,0
2024-10-14,491421.8260330169,623822.5282474157,,,,MATRIX REVERSAL PATTERN,0
2024-10-15,618144.3044329373,234622.5097224092,,,,,0
2024-10-16,752834.3178645223,243488.08373985926,,,,,0
2024-10-17,891134.178370274,246500.61048145313,,,,,0
2024-10-18,1031307.293408109,257476.45001031144,,,,,0
2024-10-19,1166507.2471286475,230752.7136347067,,,,,0
2024-10-20,1286159.7808529784,242092.29556048158,,,,,0
2024-10-21,1361473.7765444266,235298.55679432137,,,,,0
2024-10-22,1417702.6612831394,249321.784337184,,,,,0
2024-10-23,1442476.7415404057,256599.7780994411,,,,,0
2024-10-24,1451058.3607647489,245944.67757968247,598724.1648742964,,,,0
2024-10-25,1448296.9940632072,249369.9910277655,665521.7659964076,,,,0
2024-10-26,1450037.876520205,232420.18486966696,733808.0587394115,,,,0
2024-10-27,1462871.761190343,233662.63968915038,802566.2522072471,,,,0
2024-10-28,1509702.0682766554,223890.36873316232,871600.6209545723,,,,0
2024-10-29,1545474.8462818414,230931.41313653137,940845.297809675,,,,0
2024-10-30,1533458.1358829737,238377.03543235795,1009787.526015857,,,,0
2024-10-31,1555850.4675424744,246888.205569229,1077432.1223793847,,,,0
2024-11-01,1559231.3024649643,232083.60271404052,1143206.076870853,,,,0
2024-11-02,1595281.1941243696,249425.23883283834,1206684.0784616023,,,,0
2024-11-03,1609728.700571739,227302.45256490502,1266626.3304416991,,,,0
2024-11-04,1626619.5661351741,250740.6489230883,1322468.5317357893,,,,0
2024-11-05,1651862.1964535343,237026.89295672037,1374070.8737084894,,,,0
2024-11-06,1675383.83446176,234751.01506994703,1420521.3784881441,,,,0
2024-11-07,1702274.7579346674,240265.17668600727,1461834.4079472253,,,,0
2024-11-08,1738255.7814890724,248449.88373719223,1497354.6356284556,,,,0
2024-11-09,1756734.9005437142,246632.92773358864,1527975.9989596833,,,,0
2024-11-10,1802892.769059901,239302.39072824296,1555064.7404852663,,,,0
2024-11-11,1831984.2947185833,234361.3018532239,1579075.5864653008,,,,0
2024-11-12,1855238.3674866953,235176.24362225065,1600601.794347292,,,,0
2024-11-13,1875754.4673306174,232974.5758305728,1622112.709413798,,,,0
2024-11-14,1914344.854502164,246537.70757638413,1643472.089241719,,,,0
2024-11-15,1949896.0024368917,246061.166244442,1666289.1313935285,,,,0
2024-11-16,2009441.0084270774,241314.8429453253,1690606.0037581192,,,,0
2024-11-17,1988456.5830483045,235728.48990499115,1715293.7192227314,,,,0
2024-11-18,2031248.5002917685,235938.99316962124,1740392.1985963455,,,,0
2024-11-19,2082186.8732046152,232647.24163727957,1766161.5342364162,,,,0
2024-11-20,2102660.189990064,232700.48185684925,1792994.631165782,,,,0
2024-11-21,2148150.203188038,242407.52681294526,1820562.3483888854,,,,0
2024-11-22,2153343.6397122783,232182.09140522324,1848350.3332526735,1268484.2572429688,,,0
2024-11-23,2182674.4347551065,238338.57017835625,1876406.8305175023,1310984.5861120585,,,0
2024-11-24,2223489.7424769555,238014.46797849855,1905735.1090592023,1354773.8310945334,,,0
2024-11-25,2238091.9947901475,258153.01740708793,1935228.17059335,1398869.8548985992,,,0
2024-11-26,2275068.3736978173,239170.06535921633,1964966.4843382367,1443356.9451743888,,,-1
2024-11-27,2316692.077729935,233716.65511078062,1995260.5290841206,1488084.6211616776,,,0
2024-11-28,2335266.698499063,239658.2775844895,2025237.515261824,1532703.9677814143,,,0
2024-11-29,2324199.7749961982,233933.01649275902,2054919.806287889,1576798.5063079796,,,0
2024-11-30,2391606.750212515,254146.08877197522,2084050.3876318042,1620250.3062432127,,,0
2024-12-01,2435641.5444821347,229306.4818198636,2112897.7857747567,1663207.6862474855,,,0
2024-12-02,2471521.251832342,238618.9553343788,2142353.3361548735,1705405.336654073,,,0
2024-12-03,2518389.127834926,232861.0858285161,2173449.78407919,1746617.0733146705,,,0
2024-12-04,2585884.7666163803,237186.03980311952,2204988.7709769364,1786334.5154947655,,,0
2024-12-05,2601677.1335843764,215347.7585579569,2238206.479104996,1824367.996404883,,,0
2024-12-06,2617619.847380747,242098.02982958368,2271444.888242249,1860469.2465677555,,,0
2024-12-07,2645143.4122705036,257316.40336164308,2304178.9278242993,1894228.44415814,,,-1
2024-12-08,2677149.904206202,240782.69995020048,2337044.5060688728,1925763.548190384,,,0
2024-12-09,2724634.1850834764,234163.48919797948,2369380.5691799223,1955172.1158615968,,,0
2024-12-10,2750541.8092500237,246678.82158892634,2401548.271558707,1983327.5752445818,,,0
2024-12-11,2840302.2747376314,235651.31193170245,2434386.5762360143,2011275.4134397884,,,0
2024-12-12,2849016.093339197,253981.04391807475,2468282.3483370845,2039552.4197544067,,,0
2024-12-13,2905318.23803935,234875.49151054514,2503405.114857854,2068450.2562360629,,,0
